TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-04-04,2025-04-04,FO,NSE,STF,57137,,ABCAPITAL,,2025-05-29,2025-05-29,,,ABCAPITAL25MAYFUT,194.11,194.44,188.65,190.15,191.04,195.25,188.25,190.15,1684800,43200,233,120551976.0,208,F1,2700,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,54456,,ABCAPITAL,,2025-04-24,2025-04-24,,,ABCAPITAL25APRFUT,192.0,193.34,187.11,188.92,189.65,193.98,188.25,188.92,64862100,-769500,4055,2078830116.0,3005,F1,2700,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,56789,,ABCAPITAL,,2025-06-26,2025-06-26,,,ABCAPITAL25JUNFUT,194.66,195.4,189.8,190.87,190.88,196.25,188.25,190.87,124200,29700,21,10905975.0,21,F1,2700,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,56798,,ADANIENSOL,,2025-06-26,2025-06-26,,,ADANIENSOL25JUNFUT,875.0,875.0,869.4,869.4,869.4,896.7,859.4,872.2,12500,1250,9,4893875.0,9,F1,625,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57140,,ADANIENSOL,,2025-05-29,2025-05-29,,,ADANIENSOL25MAYFUT,887.3,888.45,861.15,868.35,868.25,892.6,859.4,868.35,236250,-1250,110,60251312.5,108,F1,625,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,54832,,ADANIENSOL,,2025-04-24,2025-04-24,,,ADANIENSOL25APRFUT,885.05,886.35,855.85,863.65,864.5,888.45,859.4,863.65,12631250,45000,2996,1626377125.0,2320,F1,625,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57175,,BSOFT,,2025-05-29,2025-05-29,,,BSOFT25MAYFUT,386.55,386.55,366.95,369.45,371.0,391.1,366.5,369.45,1936000,847000,1646,610299500.0,697,F1,1000,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,73263,,BSOFT,,2025-04-24,2025-04-24,,,BSOFT25APRFUT,385.0,385.0,364.5,367.15,368.95,388.65,366.5,367.15,13959000,877000,6241,2310794400.0,4753,F1,1000,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,56848,,BSOFT,,2025-06-26,2025-06-26,,,BSOFT25JUNFUT,382.95,382.95,369.75,371.8,372.35,393.85,366.5,371.8,79000,38000,105,39424300.0,91,F1,1000,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,56988,,INDHOTEL,,2025-06-26,2025-06-26,,,INDHOTEL25JUNFUT,840.0,841.0,809.5,811.15,811.4,842.95,799.35,811.15,122000,58000,114,93621750.0,104,F1,1000,,,,,
